t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,ah_accum_chg,wh_accum_chg,soc_gt_chg,soc_est_chg,phase_chg,t_rem_true_min,i_mean_60s,t_rem_min_chg_raw,t_rem_min_chg
4829385,3.54636,3.7014,3.548,49.3685,0.4941399999999999,CHG,29.2164,4829.385,2.6710000000002765,1.75239753,0.6461550525319447,2.1849012969158523,0.1820163364996892,0.1958045613733166,CHG,413.6229166666666,0.4932143333333333,414.0698678899206,414.0698678899206
4832056,3.54814,3.7048,3.5464,49.3995,0.4941399999999999,CHG,29.20096,4832.056,2.670999999999367,1.75327774,0.6465216769597224,2.186202131713028,0.1821196114566115,0.1959156596847643,CHG,413.5784,0.49323933333333336,414.02510242268136,414.02510242268136
4834727,3.54842,3.696,3.5454,49.4613,0.49424,CHG,29.24872,4834.727,2.6710000000002765,1.753771198,0.6468883755819447,2.187503332438093,0.1822229073134726,0.1960267804793772,CHG,413.5338833333333,0.493264,413.98033242743105,413.98033242743105
4837398,3.54802,3.6971,3.5552,49.4543,0.4942,CHG,29.23906,4837.398,2.6710000000002765,1.753431866,0.6472550445263892,2.188804281186361,0.1823261948103582,0.196137892280724,CHG,413.4893666666666,0.49328399999999994,413.9355578182293,413.9355578182293
4840070,3.54906,3.7113,3.5498,49.467,0.49406,CHG,29.25562,4840.07,2.6719999999995707,1.753448354,0.6476217468375002,2.190105729690633,0.1824294917063475,0.1962490141931819,CHG,413.4448333333333,0.4933056666666667,413.89077900461643,413.89077900461643
4842741,3.54992,3.6874,3.555,49.3456,0.49402,CHG,29.26432,4842.741,2.6710000000002765,1.753731778,0.6479882822319447,2.1914069010180794,0.1825327415833435,0.1963600855248317,CHG,413.4003166666667,0.49333266666666664,413.8459971314397,413.8459971314397
4845412,3.5503,3.7072,3.5485,49.3244,0.49408,CHG,29.251620000000003,4845.412,2.6710000000002765,1.754132904,0.6483548621430558,2.192708369676497,0.1826360040003027,0.1964711703463805,CHG,413.3558,0.49336166666666664,413.8012117668419,413.8012117668419
4848083,3.55122,3.6919,3.5398,49.4444,0.49402,CHG,29.22706,4848.083,2.670999999999367,1.7543745940000002,0.6487213975375002,2.194010017499956,0.1827392538772986,0.1965822416780304,CHG,413.3112833333333,0.4933903333333333,413.7564224799604,413.7564224799604
4850754,3.55126,3.7126,3.5527,49.4826,0.4942,CHG,29.24332,4850.754,2.6710000000002765,1.75503288,0.6490880664819447,2.195312154255604,0.1828425413741842,0.1966933534793772,CHG,413.2667666666666,0.49342400000000003,413.7116280614956,413.7116280614956
4853425,3.55216,3.7039,3.565,49.4356,0.49424,CHG,29.27568,4853.425,2.6710000000002765,1.7556189880000002,0.649454765104167,2.1966147264335167,0.1829458372310453,0.19680447427399,CHG,413.22225,0.49345999999999995,413.6668275621242,413.6668275621242
4856096,3.55334,3.6936,3.5467,49.438,0.4941000000000001,CHG,29.28242,4856.096,2.670999999999367,1.7557047920000002,0.6498213598541669,2.1979173622224817,0.1830491038279921,0.1969155635921718,CHG,413.17773333333326,0.49349133333333334,413.6220220391358,413.6220220391358
4858767,3.55212,3.7089,3.5499,49.3484,0.49412,CHG,29.31342,4858.767,2.6710000000002765,1.755172086,0.6501879694430558,2.199219603475365,0.1831523746049268,0.1970266574069866,CHG,413.1332166666666,0.49352066666666666,413.5772095735157,413.5772095735157
4861438,3.5508,3.7191,3.5602,49.3769,0.49398,CHG,29.30898,4861.438,2.6710000000002765,1.754022736,0.6505544751597224,2.2005209919741056,0.1832556161219473,0.1971377197453704,CHG,413.0887,0.49354366666666666,413.5323905115122,413.5323905115122
4864109,3.55224,3.6808,3.5514,49.4983,0.4938399999999999,CHG,29.319939999999995,4864.109,2.6710000000002765,1.7542368700000002,0.6509208770041669,2.201822539262015,0.1833588283790536,0.1972487506073233,CHG,413.0441833333333,0.4935616666666666,413.48756537191764,413.48756537191764
4866780,3.55428,3.702,3.5468,49.3613,0.49386,CHG,29.278160000000003,4866.78,2.670999999999367,1.7553147240000002,0.6512872936875002,2.2031248867512527,0.1834620448161477,0.1973597859659091,CHG,412.99966666666666,0.4935793333333333,413.4427363764475,413.4427363764475
4869451,3.5543,3.6985,3.5572,49.3603,0.49388,CHG,29.25672,4869.451,2.6710000000002765,1.7553956840000002,0.6516537252097224,2.204427294310688,0.1835652654332296,0.197470825821128,CHG,412.95515,0.4935936666666666,413.39790418278045,413.39790418278045
4872122,3.55512,3.727,3.5662,49.3591,0.49336,CHG,29.24908,4872.122,2.6710000000002765,1.75395467,0.6520197709208336,2.205728630739173,0.1836683773706304,0.1975817487638889,CHG,412.9106333333333,0.49359933333333333,413.3530710382981,413.3530710382981
4874793,3.5540400000000005,3.7043,3.5603,49.3865,0.4932999999999999,CHG,29.29734,4874.793,2.670999999999367,1.7532089599999998,0.652385772115278,2.207029413624276,0.183771476768068,0.1976926582167509,CHG,412.8661166666666,0.49360499999999996,413.3082384124423,413.3082384124423
4877465,3.5545,3.6974,3.5484,49.23,0.4929,CHG,29.26202,4877.465,2.67200000000048,1.752013216,0.6527516134486114,2.2083297966436093,0.1838745311340016,0.1978035192268519,CHG,412.8215833333333,0.4936066666666667,413.2634079279193,413.2634079279193
4880136,3.5522599999999995,3.685,3.5465,49.3305,0.49244,CHG,29.28074,4880.136,2.6710000000002765,1.749272614,0.6531169765708337,2.2096276614481547,0.1839774507919666,0.197914235324495,CHG,412.7770666666666,0.49359899999999995,413.2185833211634,413.2185833211634
4882807,3.55228,3.7015,3.5535,49.1682,0.4921999999999999,CHG,29.29334,4882.807,2.670999999999367,1.7484294340000002,0.6534821616263891,2.210924901017304,0.1840803202900789,0.1980248974625421,CHG,412.73255,0.4935893333333333,413.1737666878454,413.1737666878454
4885479,3.5531999999999995,3.6974,3.5572,49.1287,0.4921999999999999,CHG,29.31262,4885.479,2.67200000000048,1.74888235,0.6538474834041669,2.212222962358104,0.1841832283016685,0.1981356010315657,CHG,412.6880166666666,0.493578,413.1289576425712,413.1289576425712
4888150,3.5543,3.702,3.5552,49.2664,0.4921999999999999,CHG,29.28952,4888.15,2.670999999999367,1.74942498,0.6542126684597223,2.2135209396010644,0.1842860977997807,0.1982462631696128,CHG,412.6435,0.4935676666666667,413.084156981759,413.084156981759
4890821,3.5563199999999995,3.6971,3.5568,49.2354,0.4925,CHG,29.30386,4890.821,2.6710000000002765,1.751488142,0.6545780760986112,2.214820446095397,0.184389029997709,0.1983569927571549,CHG,412.5989833333333,0.4935596666666667,413.0393638410316,413.0393638410316
4893492,3.55672,3.7014,3.5476,49.3315,0.4929,CHG,29.34274,4893.492,2.6710000000002765,1.753107302,0.6549437805152778,2.2161211543082446,0.1844920457953919,0.1984678122773569,CHG,412.5544666666666,0.4935563333333333,412.994576318758,412.994576318758
4896163,3.5557000000000003,3.7192,3.5724,49.31,0.4928800000000001,CHG,29.3115,4896.163,2.670999999999367,1.752533864,0.6553094700930555,2.217421436739949,0.184595057413087,0.1985786273009259,CHG,412.50995,0.49355099999999996,412.9497946957398,412.9497946957398
4898834,3.55498,3.7132,3.56,49.3241,0.49284,CHG,29.26012,4898.834,2.6710000000002765,1.7520373040000004,0.6556751299930555,2.218721350371251,0.1846980606708068,0.1986894333312289,CHG,412.46543333333335,0.4935483333333333,412.9050181725491,412.9050181725491
4901505,3.55526,3.6984,3.5521,49.2523,0.4926199999999999,CHG,29.23358,4901.505,2.6710000000002765,1.7513942960000002,0.6560406266652777,2.2200207860701355,0.1848010179486614,0.198800189898569,CHG,412.4209166666666,0.493544,412.8602479593142,412.8602479593142
4904176,3.55428,3.699,3.5499,49.2102,0.49276,CHG,29.2373,4904.176,2.6710000000002765,1.751409766,0.6564062272097222,2.221320232773244,0.1849040044864302,0.19891097794234,CHG,412.3764,0.4935423333333333,412.81548319165796,412.81548319165796
4906847,3.55418,3.705,3.5453,49.2279,0.4925,CHG,29.26134,4906.847,2.670999999999367,1.750435834,0.656771634848611,2.222618957295229,0.1850069366843584,0.1990217075298821,CHG,412.3318833333333,0.49353699999999995,412.77072577121083,412.77072577121083
4909518,3.555,3.7081,3.57,49.3898,0.49266,CHG,29.25394,4909.518,2.6710000000002765,1.751408228,0.6571371611986111,2.2239184034694794,0.1851099023221885,0.1991324730904882,CHG,412.2873666666666,0.4935336666666667,412.7259720673607,412.7259720673607
4912189,3.55452,3.7021,3.5531,49.1905,0.4925,CHG,29.24382,4912.189,2.6710000000002765,1.750603988,0.6575025688375,2.225217252230063,0.1852128345201168,0.1992432026780303,CHG,412.2428499999999,0.49352199999999996,412.68122119324335,412.68122119324335
4914861,3.553,3.7102,3.5533,49.3319,0.49232,CHG,29.25368,4914.861,2.6719999999995707,1.749218104,0.6578679796819444,2.226515556960374,0.1853157676210226,0.1993539332369528,CHG,412.1983166666666,0.4935053333333333,412.636473216588,412.636473216588
4917532,3.5517600000000003,3.6999,3.5523,49.1373,0.49202,CHG,29.22696,4917.532,2.6710000000002765,1.7475389920000002,0.6582330311875001,2.227812132295746,0.1854185994992452,0.199464554905303,CHG,412.1538,0.49348233333333336,412.59172962952636,412.59172962952636
4920203,3.55136,3.6916,3.547,49.134,0.49198,CHG,29.15682,4920.203,2.6710000000002765,1.747200064,0.6585980530152779,2.229108456214042,0.1855214230174924,0.1995751675803872,CHG,412.1092833333333,0.4934556666666667,412.5469900002015,412.5469900002015
4922874,3.5517600000000003,3.7101,3.5583,49.2319,0.49128,CHG,29.177160000000004,4922.874,2.670999999999367,1.744908604,0.6589625554819444,2.2304030814950506,0.1856241002361689,0.1996856228733164,CHG,412.0647666666666,0.49341866666666667,412.5022574461793,412.5022574461793
4925545,3.55194,3.7034,3.5574,49.1762,0.49142,CHG,29.19916,4925.545,2.6710000000002765,1.745494192,0.6593271618208333,2.2316981413344035,0.1857268067147596,0.1997961096426767,CHG,412.0202499999999,0.49338499999999996,412.45753144767167,412.45753144767167
4928216,3.5547200000000005,3.704,3.5583,48.9804,0.49158,CHG,29.19354,4928.216,2.6710000000002765,1.74742911,0.6596918868708334,2.23299463676414,0.1858295466332521,0.199906632385101,CHG,411.9757333333333,0.49335,412.4128090644679,412.4128090644679
4930887,3.55516,3.7001,3.5498,49.2088,0.4915,CHG,29.2091,4930.887,2.670999999999367,1.7473610660000003,0.6600565525652777,2.2342910816544004,0.1859322698317937,0.2000171371409932,CHG,411.9312166666666,0.4933116666666667,412.3680903836693,412.3680903836693
4933558,3.55544,3.6971,3.5611,49.2106,0.49142,CHG,29.25094,4933.558,2.6710000000002765,1.7472142940000002,0.6604211589041666,2.23558741761594,0.1860349763103844,0.2001276239103535,CHG,411.8867,0.49327166666666666,412.3233748204864,412.3233748204864
4936230,3.55516,3.7024,3.5584,49.1997,0.4918599999999999,CHG,29.25362,4936.23,2.6719999999995707,1.74864091,0.6607862283263888,2.236885297823047,0.1861378132355783,0.2002382510079966,CHG,411.8421666666666,0.49323433333333333,412.27865688662393,412.27865688662393
4938901,3.5568599999999995,3.7101,3.5549,49.138,0.49162,CHG,29.253860000000003,4938.901,2.6710000000002765,1.748623006,0.6611509830541666,2.238182679324091,0.1862405615140464,0.2003487827436868,CHG,411.7976499999999,0.49319233333333334,412.23393738146825,412.23393738146825
