t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,soc_est,v_pred,v_resid,r_used_ohm,i_mean_60s,t_rem_min_dis
7272949,3.80944,3.8201,3.7954,50.1289,0.5014399999999998,DISCH,49.62402,7271.935,0.9909999999999854,1.9102037080000005,0.7157419266036101,3.8081761904565656,0.0012638095434343,0.06,0.4999706666666664,283.450432027042
7273949,3.809,3.8219,3.7993,50.1941,0.5010399999999997,DISCH,49.6247,7272.935,1.0,1.9084591360000007,0.7157245499621981,3.8081947286189366,0.0008052713810635,0.06,0.4999616666666664,283.44865284841563
7274947,3.8086,3.8198,3.7963,50.0579,0.5007399999999997,DISCH,49.65082,7273.933,0.9979999999995924,1.9071175860000007,0.7156953025152679,3.808183762691837,0.0004162373081633,0.06,0.4999259999999997,283.45729147518455
7275952,3.80832,3.8199,3.7979,50.3868,0.5011999999999998,DISCH,49.65938,7274.938,1.0050000000001091,1.9087285860000005,0.7156594765744272,3.808106539217296,0.000213460782704,0.06,0.49991666666666645,283.4483941224937
7276961,3.80798,3.8198,3.8014,49.6587,0.5010599999999998,DISCH,49.65762,7275.947,1.0090000000000146,1.9080250700000003,0.7156146235988626,3.808054577260638,-7.45772606376427e-05,0.06,0.4999306666666664,283.4226922251383
7277954,3.80814,3.8208,3.7964,50.5417,0.5012199999999998,DISCH,49.66534,7276.94,0.9929999999994834,1.9087149580000005,0.7155779378462962,3.8079708449989873,0.0001691550010125,0.06,0.4999276666666664,283.40986334736436
7278951,3.8093,3.8193,3.7969,49.9766,0.5004999999999997,DISCH,49.6816,7277.937,0.9970000000002984,1.9065545780000004,0.7155774365316324,3.807952322094008,0.0013476779059917,0.06,0.4998723333333331,283.44103681125904
7279940,3.80938,3.8206,3.7958,50.2718,0.4997799999999997,DISCH,49.67024,7278.926,0.9890000000004876,1.9038521620000008,0.7155784708444983,3.807995347064297,0.0013846529357031,0.06,0.4998463333333331,283.4561899901451
7280933,3.8093,3.8233,3.7996,49.7203,0.4990999999999997,DISCH,49.68732,7279.919,0.9929999999994834,1.9012227780000008,0.715575625991767,3.808037695207944,0.0012623047920561,0.06,0.4998163333333331,283.47207663555736
7281929,3.80914,3.8202,3.7974,49.2097,0.4990399999999997,DISCH,49.68358,7280.915,0.9960000000000946,1.900914274000001,0.715567775264342,3.808036319915398,0.001103680084602,0.06,0.4997779999999998,283.490708879422
