t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,soc_est,v_pred,v_resid,r_used_ohm
3919669,3.88038,3.8897,3.8687,49.0899,0.4960399999999998,DISCH,50.9598,3918.655,1.0080000000002656,1.9248231760000007,0.7640024895609646,3.8864240353078263,-0.006044035307826157,0.06
3920662,3.88102,3.8914,3.8725,50.189,0.4976599999999997,DISCH,50.95194,3919.648,0.9929999999999382,1.9314377320000005,0.7638075367625939,3.88597242190508,-0.004952421905080051,0.06
3921652,3.88086,3.8926,3.8691,48.9562,0.4985599999999998,DISCH,50.97976,3920.638,0.9899999999997816,1.9348504800000008,0.7636187480330768,3.8856165465524746,-0.004756546552474372,0.06
3922648,3.8804,3.8918,3.8683,50.6518,0.5007199999999998,DISCH,50.963080000000005,3921.634,0.9960000000000946,1.9430025800000008,0.7634284148803803,3.8851938694898602,-0.004793869489860381,0.06
3923650,3.88098,3.8883,3.8713,50.4445,0.4995599999999998,DISCH,50.95399999999999,3922.636,1.0019999999999527,1.9387924760000004,0.763262885257369,3.8849684306696277,-0.003988430669627618,0.06
3924662,3.88164,3.8909,3.8714,49.9044,0.5011799999999997,DISCH,50.93676000000001,3923.648,1.012000000000171,1.9454051720000003,0.7631282046578193,3.8846139840552216,-0.0029739840552216457,0.06
3925648,3.88044,3.8885,3.8666,49.6959,0.4997599999999998,DISCH,50.93362,3924.634,0.9859999999998764,1.9392876080000008,0.7629614081770035,3.8844924646006325,-0.004052464600632355,0.06
3926643,3.88042,3.8925,3.8686,49.9054,0.5000799999999999,DISCH,50.9177,3925.629,0.9949999999998907,1.9405193040000008,0.7628022133873371,3.8842142929319787,-0.003794292931978749,0.06
3927635,3.88116,3.8913,3.8709,49.897,0.4996199999999998,DISCH,50.90958,3926.621,0.9920000000001892,1.9391044820000007,0.7626728404557309,3.8839955781936615,-0.0028355781936615365,0.06
3928631,3.8817,3.8962,3.8692,50.4385,0.5006999999999999,DISCH,50.92656,3927.617,0.9960000000000946,1.9435666100000009,0.7625681212899443,3.883729997342258,-0.00202999734225795,0.06
3929632,3.88166,3.8929,3.8671,49.9018,0.5008399999999998,DISCH,50.931560000000005,3928.618,1.000999999999749,1.9440901580000003,0.7624671183862862,3.883559057756129,-0.0018990577561290856,0.06
3930628,3.88234,3.8919,3.872,50.3389,0.5021599999999997,DISCH,50.95316,3929.614,0.9960000000000946,1.9495560340000009,0.7623945116832715,3.883322882938309,-0.0009828829383087268,0.06
3931631,3.8822,3.8899,3.8684,49.9251,0.5004399999999999,DISCH,50.96316,3930.617,1.0030000000001564,1.9428121060000003,0.7623177205545464,3.8833127218031653,-0.0011127218031652397,0.06
3932621,3.88156,3.8924,3.8692,50.6533,0.5003999999999998,DISCH,50.96368,3931.607,0.9899999999997816,1.9423375180000009,0.7622252557582809,3.8831963342148117,-0.0016363342148117965,0.06
3933620,3.88044,3.8901,3.8725,49.7583,0.4996399999999997,DISCH,50.95766,3932.606,0.999000000000251,1.9388282260000007,0.7621008420187504,3.8830973764443275,-0.0026573764443273973,0.06
3934620,3.87934,3.8897,3.8703,49.696,0.4994199999999998,DISCH,50.94382,3933.606,1.0,1.9374264960000005,0.7619479508528425,3.8829166943602766,-0.0035766943602766332,0.06
3935632,3.87834,3.8927,3.868,49.9182,0.4981999999999998,DISCH,50.92314,3934.618,1.0119999999997162,1.9321887040000008,0.7617688577354719,3.8827510550383404,-0.0044110550383402725,0.06
3936639,3.877920000000001,3.8934,3.8721,49.7083,0.4988199999999998,DISCH,50.91684,3935.625,1.0070000000000618,1.934384474000001,0.7615867533816576,3.882435060103612,-0.004515060103611024,0.06
3937637,3.87792,3.8928,3.8716,49.9346,0.4991799999999998,DISCH,50.91866,3936.623,0.9980000000000472,1.935780950000001,0.7614144807587353,3.8821302703012694,-0.004210270301269414,0.06
3938634,3.8783,3.8915,3.8691,49.8448,0.4994599999999998,DISCH,50.91448,3937.62,0.9969999999998436,1.9370565540000009,0.7612628534847885,3.881845086221425,-0.00354508622142502,0.06
3939627,3.87854,3.8911,3.8705,50.0779,0.4993599999999998,DISCH,50.93448,3938.613,0.9929999999999382,1.9367882800000007,0.7611259743199497,3.8816151152417135,-0.003075115241713444,0.06
3940631,3.87864,3.8923,3.8693,50.1162,0.5003799999999998,DISCH,50.93202,3939.617,1.0040000000003602,1.9407949420000008,0.7610001801443533,3.881339793103437,-0.0026997931034369316,0.06
3941630,3.87932,3.8928,3.8698,49.7195,0.5008199999999998,DISCH,50.89608,3940.616,0.9989999999997964,1.9428421500000008,0.7609024758839107,3.8811176673547254,-0.0017976673547255295,0.06
3942629,3.87918,3.8904,3.8704,50.4486,0.5011999999999999,DISCH,50.88038,3941.615,0.9989999999997964,1.9442458440000008,0.7608058360441975,3.880942587416467,-0.0017625874164672872,0.06
3943640,3.87946,3.8927,3.8681,50.1889,0.5020799999999997,DISCH,50.883500000000005,3942.626,1.011000000000422,1.9478010120000009,0.7607235949433817,3.8807383102332804,-0.0012783102332805107,0.06
3944638,3.8803,3.8907,3.8681,50.1886,0.5021399999999998,DISCH,50.84588,3943.624,0.9979999999995924,1.9484517420000007,0.7606719108347594,3.880607420952056,-0.00030742095205571474,0.06
3945637,3.88054,3.8916,3.8737,50.4211,0.5004999999999998,DISCH,50.852320000000006,3944.623,0.999000000000251,1.9422092260000008,0.7606271831188437,3.8806254424700137,-8.54424700138523e-05,0.06
3946638,3.88012,3.8923,3.8662,49.8525,0.5002999999999999,DISCH,50.86032,3945.624,1.000999999999749,1.9412227960000008,0.7605711976273053,3.8805676484984057,-0.00044764849840595033,0.06
3947640,3.8806,3.8931,3.8677,49.6472,0.5001799999999997,DISCH,50.88042,3946.626,1.0020000000004077,1.9409983480000008,0.7605324839451915,3.8804875692961973,0.00011243070380251297,0.06
3948649,3.88088,3.8926,3.8698,50.2284,0.5010999999999999,DISCH,50.88664,3947.635,1.0090000000000146,1.9447112760000007,0.7605056318923235,3.880371469702849,0.000508530297151033,0.06
3949647,3.880020000000001,3.8909,3.8697,50.4014,0.5029199999999998,DISCH,50.90586,3948.633,0.9979999999995924,1.9513404860000008,0.7604571778766133,3.8802209170035935,-0.00020091700359259335,0.06
3950656,3.88054,3.893,3.8683,50.954,0.5046999999999999,DISCH,50.89276,3949.642,1.0090000000000146,1.9585103320000008,0.7604298256680585,3.880037661127801,0.0005023388721987487,0.06
3951667,3.88104,3.8916,3.8697,50.6638,0.5045199999999999,DISCH,50.890640000000005,3950.653,1.0109999999999673,1.958061912000001,0.7604188280078787,3.8800057359348297,0.001034264065170376,0.06
3952663,3.88106,3.8923,3.8695,50.5107,0.5049999999999998,DISCH,50.88116,3951.649,0.9960000000000946,1.9599347840000008,0.760410431759238,3.879960730624135,0.0010992693758651306,0.06
3953668,3.88004,3.8917,3.8691,49.9963,0.5027999999999998,DISCH,50.85418,3952.654,1.0050000000001091,1.9508859520000008,0.7603666822178163,3.8800793425688576,-3.934256885740339e-05,0.06
3954667,3.88106,3.8903,3.8686,50.3912,0.5017599999999999,DISCH,50.883300000000006,3953.653,0.9989999999997964,1.9473648800000007,0.7603549259229394,3.8800741096037448,0.0009858903962554066,0.06
3955675,3.88076,3.8917,3.8671,49.7727,0.4997999999999998,DISCH,50.8788,3954.661,1.0080000000002656,1.9396056560000008,0.7603306380599844,3.8801730593206565,0.0005869406793435061,0.06
3956667,3.8805,3.8908,3.8692,50.0774,0.4999599999999998,DISCH,50.89278,3955.653,0.9919999999997344,1.9400965920000004,0.7603004157582809,3.8801266450816576,0.00037335491834245005,0.06
3957664,3.88056,3.8937,3.8675,49.719,0.4983199999999998,DISCH,50.89032,3956.65,0.9970000000002984,1.9337616880000008,0.7602703918047472,3.880177843188565,0.00038215681143505265,0.06
3958659,3.881520000000001,3.8911,3.8668,49.7177,0.4979599999999998,DISCH,50.9027,3957.645,0.9949999999998907,1.9328418280000008,0.7602708848672939,3.8801528414328854,0.0013671585671155562,0.06
3959665,3.88114,3.8921,3.8686,49.8993,0.4988599999999998,DISCH,50.88326,3958.651,1.005999999999858,1.9361439400000005,0.7602607790334222,3.8800987725293115,0.001041227470688355,0.06
3960657,3.88096,3.8919,3.8688,49.5864,0.4984599999999998,DISCH,50.90478,3959.643,0.9920000000001892,1.9345024960000008,0.7602454531455107,3.880107994927708,0.0008520050722919947,0.06
